Id,Price
4567,163064.7583497262
5925,121047.6526477451
960,139361.8934678816
3848,111206.23597257235
746,175254.38713978598
868,365825.57094325166
672,103170.64383646043
2471,216685.65846461008
4510,127316.29123585964
8354,237426.62829677758
6393,172120.81448851735
13270,224758.04558423182
5250,311846.41919421504
16751,173313.82792334058
11404,135169.1630033866
10588,360813.44615208363
14925,195285.37628012543
6791,205370.59173952008
16097,185472.51328165358
16428,399376.55808192014
6945,344076.6262211525
3190,186506.39750482634
15709,433199.70131187735
13155,168583.95534184226
7675,205550.62238232608
14686,242473.51347157313
609,158093.03909800458
11155,175713.264342483
10869,186593.92531104278
15742,188884.25744683843
9245,192810.408460876
3340,164468.74026862183
2359,292504.24809163815
8070,213350.9381467114
13707,136665.91762405026
16079,267027.1646843509
15937,321889.5531184422
14090,192495.45004662467
9008,214226.69052211504
16384,166116.3842727214
11657,254795.92935604046
13151,156414.8020498586
8990,159500.27476898345
11857,188607.76116510818
1565,148149.84050911464
8174,103695.91087697534
9247,244736.81422498246
10478,206211.64357627495
15509,141606.40169762934
8306,224852.55284409566
6642,180636.9899165077
7472,221518.84563665866
15989,132645.90200879605
13682,131181.04913086505
163,244579.7409416794
7076,185364.24819122243
7478,351561.12099000096
3029,185067.5586115702
1814,143339.13682158806
10057,131059.4537947793
15100,188788.12297758542
12694,219292.4290228242
6291,186732.44733834214
12603,182534.5158207745
3218,239895.29505279812
13456,126021.88710758086
10170,237643.44403684288
4530,167232.78124865395
13329,166777.60508794224
4820,147388.3424702815
10896,175606.0608184484
13416,123058.45389742816
2701,222679.4707662813
11265,339328.4231307306
9189,267285.76349220815
1858,176937.82265781614
14536,237640.0673508774
6199,292286.8107759017
14730,153726.7083357127
7510,270020.7393120891
15505,166660.47051754963
7446,178201.30123774929
14016,188698.78149879992
14113,111934.7754686492
8721,297645.44734639185
6193,295208.31088680937
5717,174991.69434910145
5427,305631.2685007321
9520,503561.4501581251
6869,98978.623574315
1658,154846.02587456987
6639,246637.19280331366
6283,195937.1060808454
6257,125165.99952480689
15235,170450.07640865416
902,208389.62122917536
8932,194609.4642614586
16469,344366.2403488507
2825,269778.86987480713
6450,467231.49284894514
11366,188658.52873143155
3801,397673.6003876413
11385,189186.8820891861
1079,199762.03025736948
3202,229097.3824597365
